punto,este,norte,elevacion,descrip
229,809644.201,8077503.349,2934.543,p239
230,809642.323,8077458.735,2928.981,p240
231,809640.674,8077422.889,2925.042,p241
232,809640.109,8077412.53,2923.502,p242
233,809639.636,8077396.595,2921.581,p243
234,809638.644,8077368.795,2917.738,p244
235,809634.899,8077277.98,2905.479,p245
236,809637.273,8077307.154,2910.516,p246
237,809629.987,8077331.684,2912.952,p247
238,809631.749,8077331.685,2913.285,p248
239,809633.34,8077332.299,2913.455,p249
240,809644.824,8077332.056,2915.217,p250
241,809657.242,8077332.843,2916.145,p251
242,809663.104,8077335.663,2917.188,p252
243,809673.31,8077356.609,2918.565,p253
244,809684.607,8077375.473,2921.762,p254
245,809688.837,8077385.633,2922.572,p255
246,809692.119,8077445.321,2930.64,p256
247,809691.592,8077480.745,2935.335,p257
248,809703.432,8077522.809,2941.203,p258
249,809694.024,8077530.538,2942.368,p259
250,809671.076,8077542.4,2946.147,p260
251,809668.979,8077540.538,2945.752,p261
252,809667.539,8077540.2,2945.658,p262
253,809664.417,8077540.252,2945.435,p263
254,809675.51,8077552.874,2948.166,p264
255,809702.912,8077602.405,2957.211,p265
256,809715.635,8077628.604,2962.284,p266
257,809718.895,8077629.408,2962.349,p267
258,809724.773,8077634.197,2963.055,p268
259,809749.591,8077662.735,2964.735,p269
260,809751.557,8077665.269,2965.333,p270
261,809753.231,8077667.355,2966.109,p271
262,809757.987,8077671.028,2966.713,p272
263,809778.944,8077673.339,2972.482,p273
264,809800.944,8077673.322,2975.066,p274
265,809819.595,8077672.377,2976.305,p275
266,809822.49,8077673.607,2976.477,p276
267,809823.237,8077675.315,2976.656,p277
268,809826.632,8077692.63,2978.486,p278
269,809830.353,8077697.772,2978.917,p279
270,809833.297,8077706.641,2979.897,p280
271,809837.613,8077715.179,2984.671,p281
272,809841.342,8077717.48,2984.589,p282
273,809911.011,8077813.639,2985.84,p283
274,809940.537,8077837.918,2991.117,p284
275,809941.999,8077834.523,2992.856,p285
276,809817.073,8077636.304,2970.354,p286
277,809816.833,8077613.258,2966.778,p287
278,809816.798,8077600.767,2965.031,p288
279,809811.518,8077576.737,2961.144,p289
280,809811.781,8077551.166,2955.106,p290
281,809813.117,8077544.319,2953.115,p291
282,809813.498,8077540.977,2952.091,p292
283,809812.951,8077537.592,2951.396,p293
284,809805.594,8077523.709,2948.927,p294
285,809799.434,8077509.773,2946.216,p295
286,809792.549,8077488.795,2943.617,p296
287,809781.797,8077486.641,2943.282,p297
288,809767.303,8077493.228,2942.572,p298
289,809767.906,8077481.41,2940.652,p299
290,809796.755,8077473.414,2940.669,p300
291,809800.155,8077458.952,2938.381,p301
292,809801.276,8077442.202,2936.36,p302
293,809815.125,8077395.293,2928.748,p303
294,809806.942,8077354.942,2923.681,p304
295,809803.114,8077346.966,2922.787,p305
296,809802.365,8077336.656,2922.686,p306
297,809799.253,8077332.212,2919.393,p307
298,809799.047,8077329.445,2919.153,p308
299,809784.762,8077328.526,2919.902,p309
300,809788.1,8077308.97,2915.869,p310
301,809749.416,8077315.352,2916.199,c1
302,809750.244,8077315.286,2916.104,c2
303,809753.646,8077322.351,2916.266,c3
304,809753.067,8077322.919,2916.381,c4
305,809748.465,8077325.136,2917.437,c5
306,809744.859,8077317.774,2916.409,c6
307,809772.422,8077294.559,2913.477,p331
308,809769.675,8077287.13,2911.716,p332
309,809767.926,8077285.551,2911.635,p333
310,809770.049,8077283.258,2910.268,p334
311,809769.507,8077279.718,2910.078,p335
312,809768.984,8077272.881,2908.815,p336
313,809768.938,8077271.338,2908.708,p337
314,809769.913,8077267.069,2908.193,p338
315,809770.891,8077259.019,2906.059,p339
316,809767.136,8077255.134,2905.713,p340
317,809765.659,8077250.049,2905.381,p341
318,809751.75,8077231.126,2901.973,p342
319,809962.195,8077287.046,2912.102,p11
320,809958.306,8077288.904,2912.399,p12
321,809950.553,8077290.236,2914.771,p13
322,809929.3,8077293.934,2914.595,p14
323,809911.889,8077296.434,2915.303,p15
324,809908.555,8077297.196,2915.49,p16
325,809895.2,8077303.973,2916.523,p17
326,809891.549,8077306.07,2916.723,p18
327,809885.673,8077308.969,2917.308,p19
328,809884.961,8077309.624,2917.577,p20
329,809884.317,8077311.047,2917.968,p21
330,809884.6,8077315.504,2918.722,p22
331,809884.416,8077320.568,2918.926,p23
332,809888.786,8077323.859,2919.755,p24
